행정구역,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,공원_개수,총_인구수,입시학원_개수,어린이집_개수,초미세먼지_최대치,일산화탄소_최대치,마트거리(km),병원거리(km)
개포동,개포주공7단지,53.46,202106,16,225000,13,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,83.7,202107,16,287000,11,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포주공7단지,83.7,202108,20,280000,2,1983,16,57218,95,9,34.645161,0.912903226,2.283719007,2.597124049
개포동,개포현대200동,82.2,202101,22,192000,8,1986,16,57218,95,9,34.645161,0.912903226,1.723086376,3.606584675
개포동,경남1,123.28,202101,7,268000,1,1984,16,57218,95,9,34.645161,0.912903226,1.723086376,3.266694737
개포동,경남1,166.48,202101,9,298000,1,1984,16,57218,95,9,34.645161,0.912903226,1.723086376,3.266694737
개포동,경남1,96.98,202103,11,235000,3,1984,16,57218,95,9,34.645161,0.912903226,1.723086376,3.266694737
개포동,경남1,123.28,202105,7,320000,4,1984,16,57218,95,9,34.645161,0.912903226,1.723086376,3.266694737
개포동,경남2차,182.2,202102,5,327000,11,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,186.16,202102,6,332000,14,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,182.2,202103,15,300000,1,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,91.91,202103,26,230000,15,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,182.2,202104,12,325000,3,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,149.21,202104,26,303000,14,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,182.2,202105,8,323000,1,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,149.21,202107,23,328000,3,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,경남2차,182.2,202108,25,380000,10,1984,16,57218,95,9,34.645161,0.912903226,1.742588775,3.278192682
개포동,뉴현대파크빌,83.46,202103,31,71400,2,2001,16,57218,95,9,34.645161,0.912903226,2.781970289,4.285467007
개포동,뉴현대파크빌,69.16,202107,26,61000,5,2001,16,57218,95,9,34.645161,0.912903226,2.781970289,4.285467007
개포동,디에이치아너힐즈,84.6348,202101,22,274000,20,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
